,Total Cars
502,2
503,2
504,2
505,2
506,2
507,3
508,3
509,2
510,3
511,3
512,2
513,2
514,2
515,2
516,1
517,2
518,2
519,2
520,2
521,1
522,1
523,0
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,2
534,2
535,2
536,2
537,2
538,2
539,2
540,2
541,2
542,2
543,2
544,2
545,2
546,2
547,2
548,2
549,2
550,2
551,2
552,2
553,2
554,2
555,2
556,2
557,2
558,2
559,2
560,2
561,2
562,1
563,2
564,1
565,1
566,0
567,1
568,2
569,1
570,1
571,2
572,1
573,0
574,1
575,0
576,0
577,0
578,0
579,0
580,0
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,2
591,2
592,2
593,1
594,2
595,2
596,2
597,2
598,2
599,2
600,2
601,5
602,4
603,4
604,4
605,4
606,5
607,4
608,4
609,4
610,4
611,4
612,4
613,4
614,4
615,4
616,4
617,4
618,4
619,4
620,4
621,4
622,4
623,4
624,4
625,4
626,4
627,4
628,3
629,3
630,3
631,3
632,3
633,3
634,3
635,3
636,3
637,3
638,3
639,3
640,3
641,3
642,3
643,3
644,4
645,4
646,4
647,4
648,3
649,4
650,3
651,4
652,4
653,4
654,4
655,4
656,3
657,3
658,4
659,4
660,4
661,4
662,4
663,4
664,4
665,4
666,4
667,4
668,4
669,4
670,4
671,4
672,4
673,4
674,4
675,5
676,5
677,5
678,5
679,5
680,5
681,5
682,5
683,5
684,5
685,5
686,5
687,5
688,5
689,5
690,4
691,5
692,5
693,5
694,4
695,4
696,4
697,4
698,4
699,4
700,4
701,4
702,5
703,5
704,4
705,4
706,4
707,4
708,4
709,4
710,5
711,4
712,4
713,3
714,4
715,3
716,3
717,3
718,3
719,3
720,3
721,4
722,4
723,3
724,3
725,4
726,3
727,3
728,3
729,3
730,4
731,4
732,4
733,3
734,3
735,3
736,3
737,3
738,3
739,3
740,3
741,3
742,3
743,3
744,4
745,3
746,3
747,3
748,3
749,3
750,4
751,4
752,4
753,4
754,4
755,4
756,4
757,4
758,4
759,4
760,5
761,5
762,5
763,5
764,5
765,5
766,5
767,5
768,4
769,4
770,4
771,4
772,4
773,4
774,3
775,4
776,4
777,4
778,4
779,4
780,4
781,4
782,4
783,3
784,3
785,3
786,3
787,4
788,4
789,4
790,4
791,4
792,3
793,4
794,4
795,3
796,4
797,4
798,3
799,3
800,4
801,3
802,3
803,3
804,3
805,3
806,3
807,3
808,3
809,3
810,3
811,4
812,4
813,4
814,4
815,4
816,4
817,4
818,4
819,4
820,4
821,4
822,4
823,4
824,4
825,4
826,4
827,3
828,4
829,4
830,4
831,3
832,4
833,4
834,3
835,4
836,4
837,4
838,4
839,4
840,4
841,4
842,4
843,3
844,3
845,4
846,4
847,4
848,4
849,4
850,4
851,4
852,4
853,4
854,4
855,4
856,4
857,3
858,4
859,4
860,4
861,4
862,3
863,4
864,4
865,4
866,4
867,4
868,4
869,4
870,4
871,4
872,4
873,4
874,4
875,4
876,4
877,4
878,4
879,4
880,4
881,4
882,4
883,4
884,4
885,4
886,4
887,4
888,4
889,4
890,4
891,4
892,4
893,4
894,4
895,4
896,4
897,4
898,4
899,4
